Risk,Housing_own,Saving accounts,Credit amount,Duration
0,1,0,5951,48
1,1,0,2096,12
1,0,0,7882,42
0,0,0,4870,24
1,1,2,2835,24
1,0,0,6948,36
1,1,3,3059,12
0,1,0,5234,30
0,0,0,1295,12
0,0,0,4308,48
1,1,0,1567,12
0,1,0,1199,24
1,0,0,1403,15
0,1,1,1282,24
0,0,0,12579,24
1,1,2,3430,24
1,1,0,2134,9
1,0,2,2647,6
1,0,0,2241,10
1,1,1,1804,12
1,1,0,1374,6
1,1,0,426,6
1,0,3,409,12
1,1,0,2415,7
0,1,0,6836,60
1,1,3,1913,18
1,1,0,4020,24
1,1,1,5866,18
1,1,0,1474,12
0,1,0,4746,45
1,0,0,6110,48
0,1,0,2100,18
1,1,0,1225,10
1,1,0,458,9
1,1,2,2333,30
1,1,2,1158,12
1,1,0,6204,18
1,0,1,6187,30
0,0,0,6143,48
1,1,0,1393,11
1,1,2,2299,36
1,0,2,1352,6
1,1,0,7228,11
1,1,1,2073,12
1,1,0,5965,27
1,1,0,1262,12
0,0,0,2225,36
1,1,0,9566,36
1,1,0,1961,18
0,0,0,6229,36
1,1,0,1391,9
0,0,0,1953,36
0,1,0,14421,48
1,1,0,3181,24
1,1,0,2171,12
1,1,3,1007,12
0,0,0,1819,36
1,1,0,8133,36
1,0,0,1164,8
1,1,0,5954,42
1,0,0,1526,12
0,1,0,3965,42
1,1,0,4771,11
1,1,0,3832,30
1,1,2,1213,15
1,0,1,1568,18
1,1,0,1755,24
1,1,0,2315,10
1,1,0,1412,12
1,1,0,1295,18
0,0,1,12612,36
1,1,1,2249,18
0,1,0,1108,12
1,1,0,618,12
1,1,0,1409,12
1,1,3,1318,12
0,0,0,15945,54
1,1,1,2622,18
1,1,0,2337,36
1,0,1,1469,24
1,0,0,2323,36
1,1,0,932,6
1,0,0,1919,9
0,1,0,11938,24
0,1,0,6458,18
1,1,0,6078,12
1,1,2,1410,14
1,1,1,1449,6
1,0,0,392,15
1,0,0,6260,18
0,1,0,7855,36
1,1,2,1680,12
0,1,2,4281,33
1,1,2,2366,12
0,1,0,1835,21
1,0,0,3868,24
1,0,0,1768,12
1,0,0,781,10
1,1,0,2121,12
1,1,0,701,12
0,1,0,639,12
1,1,0,1860,12
0,1,0,3499,12
0,1,0,6887,36
1,1,0,2708,15
1,0,0,1984,18
1,1,1,10144,60
1,1,3,8613,27
0,1,2,766,12
1,0,0,1881,12
1,1,3,709,6
1,1,0,4795,36
1,1,0,3416,27
0,1,0,2462,18
1,1,0,2288,21
1,1,1,3566,48
1,1,0,860,6
1,1,1,682,12
1,1,0,5371,36
1,1,3,1582,18
1,0,1,1346,6
1,1,0,1924,10
1,1,0,5848,36
1,0,3,7758,24
1,0,1,6967,24
0,0,0,1282,12
1,1,1,1288,9
1,1,0,339,12
1,1,1,3512,24
1,1,1,2872,24
1,1,0,1055,18
1,1,2,1262,15
1,0,0,7308,10
1,1,2,909,36
1,1,2,2978,6
0,1,0,1131,18
1,1,3,1577,11
1,0,0,3972,24
0,1,0,1935,24
0,0,0,950,15
1,1,0,763,12
0,1,0,2064,24
1,1,0,1414,8
0,1,0,3414,21
1,1,0,2577,12
1,1,2,338,6
